TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
581476,12/9/2019,22720,Set Of 3 Cake Tins Pantry Design,14.61,16,12433.0,Norway
581476,12/9/2019,22197,Popcorn Holder,10.99,100,12433.0,Norway
581486,12/9/2019,85099B,Jumbo Bag Red Retrospot,6.19,10,17001.0,United Kingdom
581492,12/9/2019,47566,Party Bunting,7.24,2,15492.0,United Kingdom
581492,12/9/2019,84879,Assorted Colour Bird Ornament,6.19,16,15492.0,United Kingdom
581492,12/9/2019,21212,Pack Of 72 Retrospot Cake Cases,6.04,2,15492.0,United Kingdom
581492,12/9/2019,22197,Popcorn Holder,7.24,34,15492.0,United Kingdom
581492,12/9/2019,85123A,Cream Hanging Heart T-Light Holder,6.19,3,15492.0,United Kingdom
581492,12/9/2019,22720,Set Of 3 Cake Tins Pantry Design,6.19,2,15492.0,United Kingdom
581492,12/9/2019,20725,Lunch Bag Red Retrospot,6.19,1,15492.0,United Kingdom
581495,12/9/2019,22423,Regency Cakestand 3 Tier,6.19,10,14051.0,United Kingdom
581497,12/9/2019,21212,Pack Of 72 Retrospot Cake Cases,7.24,7,17497.0,United Kingdom
581497,12/9/2019,22197,Popcorn Holder,7.24,68,17497.0,United Kingdom
581497,12/9/2019,22423,Regency Cakestand 3 Tier,7.24,8,17497.0,United Kingdom
581497,12/9/2019,47566,Party Bunting,6.19,5,17497.0,United Kingdom
581498,12/9/2019,85099B,Jumbo Bag Red Retrospot,6.19,5,14498.0,United Kingdom
581538,12/9/2019,85123A,Cream Hanging Heart T-Light Holder,6.19,1,14446.0,United Kingdom
581538,12/9/2019,22197,Popcorn Holder,6.19,4,14446.0,United Kingdom
581538,12/9/2019,20725,Lunch Bag Red Retrospot,6.19,1,14446.0,United Kingdom
581579,12/9/2019,22197,Popcorn Holder,6.19,24,17581.0,United Kingdom
581583,12/9/2019,20725,Lunch Bag Red Retrospot,7.24,40,13777.0,United Kingdom
581585,12/9/2019,84879,Assorted Colour Bird Ornament,7.24,16,15804.0,United Kingdom
581216,12/8/2019,85099B,Jumbo Bag Red Retrospot,6.19,30,16523.0,United Kingdom
581217,12/8/2019,21212,Pack Of 72 Retrospot Cake Cases,7.24,3,16217.0,United Kingdom
581217,12/8/2019,22197,Popcorn Holder,6.19,27,16217.0,United Kingdom
581217,12/8/2019,22423,Regency Cakestand 3 Tier,6.19,3,16217.0,United Kingdom
581217,12/8/2019,22720,Set Of 3 Cake Tins Pantry Design,6.19,2,16217.0,United Kingdom
581217,12/8/2019,47566,Party Bunting,6.19,1,16217.0,United Kingdom
581217,12/8/2019,84879,Assorted Colour Bird Ornament,7.24,8,16217.0,United Kingdom
581217,12/8/2019,85123A,Cream Hanging Heart T-Light Holder,6.19,1,16217.0,United Kingdom
581217,12/8/2019,85099B,Jumbo Bag Red Retrospot,6.19,6,16217.0,United Kingdom
581218,12/8/2019,20725,Lunch Bag Red Retrospot,6.19,10,14191.0,United Kingdom
581219,12/8/2019,22720,Set Of 3 Cake Tins Pantry Design,5.97,2,16219.0,United Kingdom
581219,12/8/2019,21212,Pack Of 72 Retrospot Cake Cases,6.19,4,16219.0,United Kingdom
